"","Discipline","Description of Finding","Original Report","Replication Report"
"...2654","Cognitive Psychology","Age of acquisition influence on lexical retrieval (Visual lexical decision in transparent language). **Early-acquired words are responded more quickly and accurately than late-acquired words in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian","Brysbaert M, Lange M, Wijnendaele IV (2000). “The effects of age-of-acquisition and frequency-of-occurrence in
 visual word recognition: Further evidence from the Dutch language.” _European Journal of Cognitive Psychology_,
 *12*(1), 65–85. ISSN 1464-0635, doi:10.1080/095414400382208 <https://doi.org/10.1080/095414400382208>,
 <http://dx.doi.org/10.1080/095414400382208>.","Menenti L, Burani C (2007). “What causes the effect of age of acquisition in lexical processing?” _Quarterly
 Journal of Experimental Psychology_, *60*(5), 652–660. ISSN 1747-0226, doi:10.1080/17470210601100126
 <https://doi.org/10.1080/17470210601100126>, <http://dx.doi.org/10.1080/17470210601100126>."
"...2655","Cognitive Psychology","Early-acquired logograms are responded more quickly and accurately than late-acquired logograms in logographic languages such as Chinese and Japanese, using a visual lexical decision task","Weekes BS, Chan AH, Tan LH (2008). “Effects of age of acquisition on brain activation during Chinese character
 recognition.” _Neuropsychologia_, *46*(7), 2086–2090. ISSN 0028-3932, doi:10.1016/j.neuropsychologia.2008.01.020
 <https://doi.org/10.1016/j.neuropsychologia.2008.01.020>,
 <http://dx.doi.org/10.1016/j.neuropsychologia.2008.01.020>.","Chang Y, Lee C (2020). “Age of acquisition effects on traditional Chinese character naming and lexical decision.”
 _Psychonomic Bulletin &amp;amp; Review_, *27*(6), 1317–1324. ISSN 1531-5320, doi:10.3758/s13423-020-01787-8
 <https://doi.org/10.3758/s13423-020-01787-8>, <http://dx.doi.org/10.3758/s13423-020-01787-8>."
"...2657","Cognitive Psychology","Early-acquired logograms are responded more quickly and accurately than late-acquired logograms in logographic languages such as Chinese and Japanese, using a visual lexical decision task","Weekes BS, Chan AH, Tan LH (2008). “Effects of age of acquisition on brain activation during Chinese character
 recognition.” _Neuropsychologia_, *46*(7), 2086–2090. ISSN 0028-3932, doi:10.1016/j.neuropsychologia.2008.01.020
 <https://doi.org/10.1016/j.neuropsychologia.2008.01.020>,
 <http://dx.doi.org/10.1016/j.neuropsychologia.2008.01.020>.","Xu X, Li J, Guo S (2020). “Age of acquisition ratings for 19,716 simplified Chinese words.” _Behavior Research
 Methods_, *53*(2), 558–573. ISSN 1554-3528, doi:10.3758/s13428-020-01455-8
 <https://doi.org/10.3758/s13428-020-01455-8>, <http://dx.doi.org/10.3758/s13428-020-01455-8>."
"...2658","Cognitive Psychology","Early-acquired words show shorter fixations, gaze and total reading times than late-acquired words in sentences and paragraphs, using eye-tracking","Juhasz BJ, Rayner K (2003). “Investigating the Effects of a Set of Intercorrelated Variables on Eye Fixation
 Durations in Reading.” _Journal of Experimental Psychology: Learning, Memory, and Cognition_, *29*(6), 1312–1318.
 ISSN 0278-7393, doi:10.1037/0278-7393.29.6.1312 <https://doi.org/10.1037/0278-7393.29.6.1312>,
 <http://dx.doi.org/10.1037/0278-7393.29.6.1312>.","Dirix N, Duyck W (2017). “An eye movement corpus study of the age-of-acquisition effect.” _Psychonomic Bulletin
 &amp;amp; Review_, *24*(6), 1915–1921. ISSN 1531-5320, doi:10.3758/s13423-017-1233-8
 <https://doi.org/10.3758/s13423-017-1233-8>, <http://dx.doi.org/10.3758/s13423-017-1233-8>."
"...2659","Cognitive Psychology","Early-acquired words show shorter fixations, gaze and total reading times than late-acquired words in sentences and paragraphs, using eye-tracking","Juhasz BJ, Rayner K (2003). “Investigating the Effects of a Set of Intercorrelated Variables on Eye Fixation
 Durations in Reading.” _Journal of Experimental Psychology: Learning, Memory, and Cognition_, *29*(6), 1312–1318.
 ISSN 0278-7393, doi:10.1037/0278-7393.29.6.1312 <https://doi.org/10.1037/0278-7393.29.6.1312>,
 <http://dx.doi.org/10.1037/0278-7393.29.6.1312>.","Juhasz BJ (2018). “Experience with compound words influences their processing: An eye movement investigation with
 English compound words.” _Quarterly Journal of Experimental Psychology_, *71*(1), 103–112. ISSN 1747-0226,
 doi:10.1080/17470218.2016.1253756 <https://doi.org/10.1080/17470218.2016.1253756>,
 <http://dx.doi.org/10.1080/17470218.2016.1253756>."
"...2660","Cognitive Psychology","Early-acquired words show shorter fixations, gaze and total reading times than late-acquired words in sentences and paragraphs, using eye-tracking","Juhasz BJ, Rayner K (2003). “Investigating the Effects of a Set of Intercorrelated Variables on Eye Fixation
 Durations in Reading.” _Journal of Experimental Psychology: Learning, Memory, and Cognition_, *29*(6), 1312–1318.
 ISSN 0278-7393, doi:10.1037/0278-7393.29.6.1312 <https://doi.org/10.1037/0278-7393.29.6.1312>,
 <http://dx.doi.org/10.1037/0278-7393.29.6.1312>.","Juhasz BJ, Rayner K (2006). “The role of age of acquisition and word frequency in reading: Evidence from eye
 fixation durations.” _Visual Cognition_, *13*(7–8), 846–863. ISSN 1464-0716, doi:10.1080/13506280544000075
 <https://doi.org/10.1080/13506280544000075>, <http://dx.doi.org/10.1080/13506280544000075>."
"...2663","Cognitive Psychology","Compared to late-acquired words, early-acquired words in a native or other language are translated more quickly to the other language or the native language, respectively","Murray DJ (1986). “Characteristics of words determining how easily they will be translated into a second
 language.” _Applied Psycholinguistics_, *7*(4), 353–372. ISSN 1469-1817, doi:10.1017/s0142716400007724
 <https://doi.org/10.1017/s0142716400007724>, <http://dx.doi.org/10.1017/s0142716400007724>.","Bowers JM, Kennison SM (2011). “The Role of Age of Acquisition in Bilingual Word Translation: Evidence from
 Spanish-English Bilinguals.” _Journal of Psycholinguistic Research_, *40*(4), 275–289. ISSN 1573-6555,
 doi:10.1007/s10936-011-9169-z <https://doi.org/10.1007/s10936-011-9169-z>,
 <http://dx.doi.org/10.1007/s10936-011-9169-z>."
"...2664","Cognitive Psychology","The pictures of objects whose concept is acquired earlier show smaller semantic interference with simultaneously appearing semantically related words, compared to when the task is done using pictures of objects whose concept is acquired later","Catling JC, Dent K, Johnston RA, Balding R (2010). “Age of Acquisition, Word Frequency, and Picture–Word
 Interference.” _Quarterly Journal of Experimental Psychology_, *63*(7), 1304–1317. ISSN 1747-0226,
 doi:10.1080/17470210903380830 <https://doi.org/10.1080/17470210903380830>,
 <http://dx.doi.org/10.1080/17470210903380830>.","de Zubicaray GI, Miozzo M, Johnson K, Schiller NO, McMahon KL (2012). “Independent Distractor Frequency and
 Age-of-Acquisition Effects in Picture–Word Interference: fMRI Evidence for Post-lexical and Lexical Accounts
 according to Distractor Type.” _Journal of Cognitive Neuroscience_, *24*(2), 482–495. ISSN 1530-8898,
 doi:10.1162/jocn_a_00141 <https://doi.org/10.1162/jocn_a_00141>, <http://dx.doi.org/10.1162/jocn_a_00141>."
"...2665","Cognitive Psychology","In contrast to the meaning of late-acquired words,** **the meaning of early-acquired words are less likely to change over time in the conceptual representation of the speaker and community","Monaghan P (2014). “Age of acquisition predicts rate of lexical evolution.” _Cognition_, *133*(3), 530–534. ISSN
 0010-0277, doi:10.1016/j.cognition.2014.08.007 <https://doi.org/10.1016/j.cognition.2014.08.007>,
 <http://dx.doi.org/10.1016/j.cognition.2014.08.007>.","Vejdemo S, Hörberg T (2016). “Semantic Factors Predict the Rate of Lexical Replacement of Content Words.” _PLOS
 ONE_, *11*(1), e0147924. ISSN 1932-6203, doi:10.1371/journal.pone.0147924
 <https://doi.org/10.1371/journal.pone.0147924>, <http://dx.doi.org/10.1371/journal.pone.0147924>."
"...2666","Cognitive Psychology","In contrast to the meaning of late-acquired words,** **the meaning of early-acquired words are less likely to change over time in the conceptual representation of the speaker and community","Monaghan P (2014). “Age of acquisition predicts rate of lexical evolution.” _Cognition_, *133*(3), 530–534. ISSN
 0010-0277, doi:10.1016/j.cognition.2014.08.007 <https://doi.org/10.1016/j.cognition.2014.08.007>,
 <http://dx.doi.org/10.1016/j.cognition.2014.08.007>.","Monaghan P, Roberts SG (2021). “Iconicity and Diachronic Language Change.” _Cognitive Science_, *45*(4). ISSN
 1551-6709, doi:10.1111/cogs.12968 <https://doi.org/10.1111/cogs.12968>, <http://dx.doi.org/10.1111/cogs.12968>."
"...2667","Cognitive Psychology","The earlier a concept is learned, the more likely the concept will be more strongly consolidated and more likely to be recalled","STEWART N, ELLIS AW (2008). “Order of acquisition in learning perceptual categories: A laboratory analogue of the
 age-of-acquisition effect?” _Psychonomic Bulletin &amp;amp; Review_, *15*(1), 70–74. ISSN 1531-5320,
 doi:10.3758/pbr.15.1.70 <https://doi.org/10.3758/pbr.15.1.70>, <http://dx.doi.org/10.3758/pbr.15.1.70>.","Catling J, Dent K, Preece E, Johnston R (2013). “Age-of-Acquisition Effects in Novel Picture Naming: A Laboratory
 Analogue.” _Quarterly Journal of Experimental Psychology_, *66*(9), 1756–1763. ISSN 1747-0226,
 doi:10.1080/17470218.2013.764903 <https://doi.org/10.1080/17470218.2013.764903>,
 <http://dx.doi.org/10.1080/17470218.2013.764903>."
"...2669","Cognitive Psychology","Age of acquisition influence on learning (procedural). **The order of learning new actions of a procedures influences the speed and accuracy of recalling the correct position","Neumann E, Ammons RB (1957). “Acquisition and long-term retention of a simple serial perceptual-motor skill.”
 _Journal of Experimental Psychology_, *53*(3), 159–161. ISSN 0022-1015, doi:10.1037/h0041719
 <https://doi.org/10.1037/h0041719>, <http://dx.doi.org/10.1037/h0041719>.","Magill RA (1976). “Order of Acquisition of the Parts of a Serial-Motor Task.” _Research Quarterly. American
 Alliance for Health, Physical Education and Recreation_, *47*(1), 134–139. ISSN 1067-1315,
 doi:10.1080/10671315.1976.10615350 <https://doi.org/10.1080/10671315.1976.10615350>,
 <http://dx.doi.org/10.1080/10671315.1976.10615350>."
"...2674","Cognitive Psychology","Frequency influences the pre-conceptual stages of lexical retrieval (progressive demasking). **High-frequency items are identified more accurately than low-frequency items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize","Gilhooly KJ, Logie RH (1981). “Word age-of-acquisition and visual recognition thresholds.” _Current Psychology_,
 *1*(3–4), 215–225. ISSN 1936-4733, doi:10.1007/bf03186732 <https://doi.org/10.1007/bf03186732>,
 <http://dx.doi.org/10.1007/bf03186732>.","Gilhooly KJ, Logie RH (1981). “Word age-of-acquisition, reading latencies and auditory recognition.” _Current
 Psychology_, *1*(3–4), 251–262. ISSN 1936-4733, doi:10.1007/bf03186735 <https://doi.org/10.1007/bf03186735>,
 <http://dx.doi.org/10.1007/BF03186735>."
"...2676","Cognitive Psychology","The age at which one acquires the concept of an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features","Morrison CM, Ellis AW, Quinlan PT (1992). “Age of acquisition, not word frequency, affects object naming, not
 object recognition.” _Memory &amp;amp; Cognition_, *20*(6), 705–714. ISSN 1532-5946, doi:10.3758/bf03202720
 <https://doi.org/10.3758/bf03202720>, <http://dx.doi.org/10.3758/bf03202720>.","Moore V, Smith‐Spark J, Valentine T (2004). “The effects of age of acquisition on object perception.” _European
 Journal of Cognitive Psychology_, *16*(3), 417–439. ISSN 1464-0635, doi:10.1080/09541440340000097
 <https://doi.org/10.1080/09541440340000097>, <http://dx.doi.org/10.1080/09541440340000097>."
"...2736","Cognitive Psychology","Participants are shown two faces: a neutral and emotional face on either the left or right side. There is a left-sided bias when choosing the face that presents itself as happy","Levy J, Heller W, Banich MT, Burton LA (1983). “Asymmetry of perception in free viewing of chimeric faces.”
 _Brain and Cognition_, *2*(4), 404–419. ISSN 0278-2626, doi:10.1016/0278-2626(83)90021-0
 <https://doi.org/10.1016/0278-2626%2883%2990021-0>, <http://dx.doi.org/10.1016/0278-2626(83)90021-0>.","Dyson B (2023). “Assessing the Replicability of Cognitive Psychology During Remote Experiential Learning via
 Mobile Phone Technology.” _Collabra: Psychology_, *9*(1). ISSN 2474-7394, doi:10.1525/collabra.88320
 <https://doi.org/10.1525/collabra.88320>, <http://dx.doi.org/10.1525/collabra.88320>."
"...2747","Cognitive Psychology","Young adults are more likely to be facilitated during reading when the sentence is presented with an _either _than when the sentence does not have an _either _included","Staub A, Clifton C (2006). “Syntactic prediction in language comprehension: Evidence from either...or.” _Journal
 of Experimental Psychology: Learning, Memory, and Cognition_, *32*(2), 425–436. ISSN 0278-7393,
 doi:10.1037/0278-7393.32.2.425 <https://doi.org/10.1037/0278-7393.32.2.425>,
 <http://dx.doi.org/10.1037/0278-7393.32.2.425>.","Cutter MG, Paterson KB, Filik R (2022). “Syntactic prediction during self‐paced reading is age invariant.”
 _British Journal of Psychology_, *114*(1), 39–53. ISSN 2044-8295, doi:10.1111/bjop.12594
 <https://doi.org/10.1111/bjop.12594>, <http://dx.doi.org/10.1111/bjop.12594>."
"...2749","Cognitive Psychology","Self-control is a limited resource that can be depleted by efforts to inhibit a thought, emotion or behaviour","Baumeister RF, Bratslavsky E, Muraven M, Tice DM (1998). “Ego depletion: Is the active self a limited resource?”
 _Journal of Personality and Social Psychology_, *74*(5), 1252–1265. ISSN 0022-3514,
 doi:10.1037/0022-3514.74.5.1252 <https://doi.org/10.1037/0022-3514.74.5.1252>,
 <http://dx.doi.org/10.1037/0022-3514.74.5.1252>.","Xu X, Demos KE, Leahey TM, Hart CN, Trautvetter J, Coward P, Middleton KR, Wing RR (2014). “Failure to Replicate
 Depletion of Self-Control.” _PLoS ONE_, *9*(10), e109950. ISSN 1932-6203, doi:10.1371/journal.pone.0109950
 <https://doi.org/10.1371/journal.pone.0109950>, <http://dx.doi.org/10.1371/journal.pone.0109950>."
"...2750","Cognitive Psychology","Self-control is a limited resource that can be depleted by efforts to inhibit a thought, emotion or behaviour","Baumeister RF, Bratslavsky E, Muraven M, Tice DM (1998). “Ego depletion: Is the active self a limited resource?”
 _Journal of Personality and Social Psychology_, *74*(5), 1252–1265. ISSN 0022-3514,
 doi:10.1037/0022-3514.74.5.1252 <https://doi.org/10.1037/0022-3514.74.5.1252>,
 <http://dx.doi.org/10.1037/0022-3514.74.5.1252>.","Hagger MS, Chatzisarantis NLD, Alberts H, Anggono CO, Batailler C, Birt AR, Brand R, Brandt MJ, Brewer G,
 Bruyneel S, Calvillo DP, Campbell WK, Cannon PR, Carlucci M, Carruth NP, Cheung T, Crowell A, De Ridder DTD,
 Dewitte S, Elson M, Evans JR, Fay BA, Fennis BM, Finley A, Francis Z, Heise E, Hoemann H, Inzlicht M, Koole SL,
 Koppel L, Kroese F, Lange F, Lau K, Lynch BP, Martijn C, Merckelbach H, Mills NV, Michirev A, Miyake A, Mosser
 AE, Muise M, Muller D, Muzi M, Nalis D, Nurwanti R, Otgaar H, Philipp MC, Primoceri P, Rentzsch K, Ringos L,
 Schlinkert C, Schmeichel BJ, Schoch SF, Schrama M, Schütz A, Stamos A, Tinghög G, Ullrich J, vanDellen M,
 Wimbarti S, Wolff W, Yusainy C, Zerhouni O, Zwienenberg M (2016). “A Multilab Preregistered Replication of the
 Ego-Depletion Effect.” _Perspectives on Psychological Science_, *11*(4), 546–573. ISSN 1745-6924,
 doi:10.1177/1745691616652873 <https://doi.org/10.1177/1745691616652873>,
 <http://dx.doi.org/10.1177/1745691616652873>."
"...2751","Cognitive Psychology","Self-control is a limited resource that can be depleted by efforts to inhibit a thought, emotion or behaviour","Baumeister RF, Bratslavsky E, Muraven M, Tice DM (1998). “Ego depletion: Is the active self a limited resource?”
 _Journal of Personality and Social Psychology_, *74*(5), 1252–1265. ISSN 0022-3514,
 doi:10.1037/0022-3514.74.5.1252 <https://doi.org/10.1037/0022-3514.74.5.1252>,
 <http://dx.doi.org/10.1037/0022-3514.74.5.1252>.","Vohs KD, Schmeichel BJ, Lohmann S, Gronau QF, Finley AJ, Ainsworth SE, Alquist JL, Baker MD, Brizi A, Bunyi A,
 Butschek GJ, Campbell C, Capaldi J, Cau C, Chambers H, Chatzisarantis NLD, Christensen WJ, Clay SL, Curtis J, De
 Cristofaro V, del Rosario K, Diel K, Doğruol Y, Doi M, Donaldson TL, Eder AB, Ersoff M, Eyink JR, Falkenstein A,
 Fennis BM, Findley MB, Finkel EJ, Forgea V, Friese M, Fuglestad P, Garcia-Willingham NE, Geraedts LF, Gervais WM,
 Giacomantonio M, Gibson B, Gieseler K, Gineikiene J, Gloger EM, Gobes CM, Grande M, Hagger MS, Hartsell B,
 Hermann AD, Hidding JJ, Hirt ER, Hodge J, Hofmann W, Howell JL, Hutton RD, Inzlicht M, James L, Johnson E,
 Johnson HL, Joyce SM, Joye Y, Kaben JH, Kammrath LK, Kelly CN, Kissell BL, Koole SL, Krishna A, Lam C, Lee KT,
 Lee N, Leighton DC, Loschelder DD, Maranges HM, Masicampo EJ, Mazara K, McCarthy S, McGregor I, Mead NL, Mendes
 WB, Meslot C, Michalak NM, Milyavskaya M, Miyake A, Moeini-Jazani M, Muraven M, Nakahara E, Patel K, Petrocelli
 JV, Pollak KM, Price MM, Ramsey HJ, Rath M, Robertson JA, Rockwell R, Russ IF, Salvati M, Saunders B, Scherer A,
 Schütz A, Schmitt KN, Segerstrom SC, Serenka B, Sharpinskyi K, Shaw M, Sherman J, Song Y, Sosa N, Spillane K,
 Stapels J, Stinnett AJ, Strawser HR, Sweeny K, Theodore D, Tonnu K, van Oldenbeuving Y, vanDellen MR, Vergara RC,
 Walker JS, Waugh CE, Weise F, Werner KM, Wheeler C, White RA, Wichman AL, Wiggins BJ, Wills JA, Wilson JH,
 Wagenmakers E, Albarracín D (2021). “A Multisite Preregistered Paradigmatic Test of the Ego-Depletion Effect.”
 _Psychological Science_, *32*(10), 1566–1581. ISSN 1467-9280, doi:10.1177/0956797621989733
 <https://doi.org/10.1177/0956797621989733>, <http://dx.doi.org/10.1177/0956797621989733>."
"...2758","Cognitive Psychology","A cognitive bias whereby people with limited knowledge or competence in a given intellectual or social domain greatly overestimate their own knowledge or competence in that domain relative to objective criteria or to the performance of their peers or of people in general. Involves five claims, three of which are just popular misunderstandings: 1) the one the authors actually make: that poor performers (e.g. the bottom quartile) overestimate their performance more than good performers do: L > U","Kruger J, Dunning D (1999). “Unskilled and unaware of it: How difficulties in recognizing one’s own incompetence
 lead to inflated self-assessments.” _Journal of Personality and Social Psychology_, *77*(6), 1121–1134. ISSN
 0022-3514, doi:10.1037/0022-3514.77.6.1121 <https://doi.org/10.1037/0022-3514.77.6.1121>,
 <http://dx.doi.org/10.1037/0022-3514.77.6.1121>.","Healy PJ, Moore DA (2007). “Bayesian Overconfidence.” _SSRN Electronic Journal_. ISSN 1556-5068,
 doi:10.2139/ssrn.1001820 <https://doi.org/10.2139/ssrn.1001820>, <http://dx.doi.org/10.2139/ssrn.1001820>."
"...2759","Cognitive Psychology","A cognitive bias whereby people with limited knowledge or competence in a given intellectual or social domain greatly overestimate their own knowledge or competence in that domain relative to objective criteria or to the performance of their peers or of people in general. Involves five claims, three of which are just popular misunderstandings: 1) the one the authors actually make: that poor performers (e.g. the bottom quartile) overestimate their performance more than good performers do: L > U","Kruger J, Dunning D (1999). “Unskilled and unaware of it: How difficulties in recognizing one’s own incompetence
 lead to inflated self-assessments.” _Journal of Personality and Social Psychology_, *77*(6), 1121–1134. ISSN
 0022-3514, doi:10.1037/0022-3514.77.6.1121 <https://doi.org/10.1037/0022-3514.77.6.1121>,
 <http://dx.doi.org/10.1037/0022-3514.77.6.1121>.","Muller A, Sirianni LA, Addante RJ (2020). “Neural correlates of the Dunning–Kruger effect.” _European Journal of
 Neuroscience_, *53*(2), 460–484. ISSN 1460-9568, doi:10.1111/ejn.14935 <https://doi.org/10.1111/ejn.14935>,
 <http://dx.doi.org/10.1111/ejn.14935>."
"...2762","Cognitive Psychology","Massively reduced acquittals just before lunch. Case order isn’t independent of acquittal probability (“unrepresented prisoners usually go last and are less likely to be granted parole”); favourable cases may take predictably longer and so are pushed until after recess; effect size is implausible on priors; explanation involved ego depletion","Danziger S, Levav J, Avnaim-Pesso L (2011). “Extraneous factors in judicial decisions.” _Proceedings of the
 National Academy of Sciences_, *108*(17), 6889–6892. ISSN 1091-6490, doi:10.1073/pnas.1018033108
 <https://doi.org/10.1073/pnas.1018033108>, <http://dx.doi.org/10.1073/pnas.1018033108>.","Glöckner A (2016). “The irrational hungry judge effect revisited: Simulations reveal that the magnitude of the
 effect is overestimated.” _Judgment and Decision Making_, *11*(6), 601–610. ISSN 1930-2975,
 doi:10.1017/s1930297500004812 <https://doi.org/10.1017/s1930297500004812>,
 <http://dx.doi.org/10.1017/S1930297500004812>."
"...2765","Cognitive Psychology","Transfer of knowledge and skills ** **from daily computer training games to fluid intelligence in general, in particular from the Dual n-Back game","Au J, Sheehan E, Tsai N, Duncan GJ, Buschkuehl M, Jaeggi S (2014). “Improving Fluid Intelligence With Training on
 Working Memory: A Meta-Analysis: (524912015-029).” doi:10.1037/e524912015-029
 <https://doi.org/10.1037/e524912015-029>, <http://dx.doi.org/10.1037/e524912015-029>.","Melby-Lervåg M, Hulme C (2013). “Is working memory training effective? A meta-analytic review.” _Developmental
 Psychology_, *49*(2), 270–291. ISSN 0012-1649, doi:10.1037/a0028228 <https://doi.org/10.1037/a0028228>,
 <http://dx.doi.org/10.1037/a0028228>."
"...2768","Cognitive Psychology","Transfer of knowledge and skills ** **from daily computer training games to fluid intelligence in general, in particular from the Dual n-Back game","Au J, Sheehan E, Tsai N, Duncan GJ, Buschkuehl M, Jaeggi S (2014). “Improving Fluid Intelligence With Training on
 Working Memory: A Meta-Analysis: (524912015-029).” doi:10.1037/e524912015-029
 <https://doi.org/10.1037/e524912015-029>, <http://dx.doi.org/10.1037/e524912015-029>.","Lampit A, Hallock H, Valenzuela M (2014). “Computerized Cognitive Training in Cognitively Healthy Older Adults: A
 Systematic Review and Meta-Analysis of Effect Modifiers.” _PLoS Medicine_, *11*(11), e1001756. ISSN 1549-1676,
 doi:10.1371/journal.pmed.1001756 <https://doi.org/10.1371/journal.pmed.1001756>,
 <http://dx.doi.org/10.1371/journal.pmed.1001756>."
"...2770","Cognitive Psychology","Transfer of knowledge and skills ** **from daily computer training games to fluid intelligence in general, in particular from the Dual n-Back game","Au J, Sheehan E, Tsai N, Duncan GJ, Buschkuehl M, Jaeggi S (2014). “Improving Fluid Intelligence With Training on
 Working Memory: A Meta-Analysis: (524912015-029).” doi:10.1037/e524912015-029
 <https://doi.org/10.1037/e524912015-029>, <http://dx.doi.org/10.1037/e524912015-029>.","Simons DJ, Boot WR, Charness N, Gathercole SE, Chabris CF, Hambrick DZ, Stine-Morrow EAL (2016). “Do
 “Brain-Training” Programs Work?” _Psychological Science in the Public Interest_, *17*(3), 103–186. ISSN
 1539-6053, doi:10.1177/1529100616661983 <https://doi.org/10.1177/1529100616661983>,
 <http://dx.doi.org/10.1177/1529100616661983>."
"...2771","Cognitive Psychology","An original experimental study found an increase in IQ for children who received a year of music lessons, compared to children who were randomly assigned to drama lessons or no lessons","Schellenberg EG (2004). “Music Lessons Enhance IQ.” _Psychological Science_, *15*(8), 511–514. ISSN 1467-9280,
 doi:10.1111/j.0956-7976.2004.00711.x <https://doi.org/10.1111/j.0956-7976.2004.00711.x>,
 <http://dx.doi.org/10.1111/j.0956-7976.2004.00711.x>.","Mehr SA, Schachner A, Katz RC, Spelke ES (2013). “Two Randomized Trials Provide No Consistent Evidence for
 Nonmusical Cognitive Benefits of Brief Preschool Music Enrichment.” _PLoS ONE_, *8*(12), e82007. ISSN 1932-6203,
 doi:10.1371/journal.pone.0082007 <https://doi.org/10.1371/journal.pone.0082007>,
 <http://dx.doi.org/10.1371/journal.pone.0082007>."
"...2772","Cognitive Psychology","An original experimental study found an increase in IQ for children who received a year of music lessons, compared to children who were randomly assigned to drama lessons or no lessons","Schellenberg EG (2004). “Music Lessons Enhance IQ.” _Psychological Science_, *15*(8), 511–514. ISSN 1467-9280,
 doi:10.1111/j.0956-7976.2004.00711.x <https://doi.org/10.1111/j.0956-7976.2004.00711.x>,
 <http://dx.doi.org/10.1111/j.0956-7976.2004.00711.x>.","D’Souza AA, Wiseheart M (2018). “Cognitive effects of music and dance training in children.” _Archives of
 Scientific Psychology_, *6*(1), 178–192. ISSN 2169-3269, doi:10.1037/arc0000048
 <https://doi.org/10.1037/arc0000048>, <http://dx.doi.org/10.1037/arc0000048>."
"...2776","Cognitive Psychology","Playing videogames (gaming) improves spatial skills, such as cognitive orientation and visualisation in space","Gagnon D (1985). “Videogames and spatial skills: An exploratory study.” _ECTJ_, *33*(4), 263–275. ISSN 0148-5806,
 doi:10.1007/bf02769363 <https://doi.org/10.1007/bf02769363>, <http://dx.doi.org/10.1007/bf02769363>.","Kuhlman JS, Beitel PA (1991). “Videogame Experience: A Possible Explanation for Differences in Anticipation of
 Coincidence.” _Perceptual and Motor Skills_, *72*(2), 483–488. ISSN 1558-688X, doi:10.2466/pms.1991.72.2.483
 <https://doi.org/10.2466/pms.1991.72.2.483>, <http://dx.doi.org/10.2466/pms.1991.72.2.483>."
"...2777","Cognitive Psychology","Playing videogames (gaming) improves spatial skills, such as cognitive orientation and visualisation in space","Gagnon D (1985). “Videogames and spatial skills: An exploratory study.” _ECTJ_, *33*(4), 263–275. ISSN 0148-5806,
 doi:10.1007/bf02769363 <https://doi.org/10.1007/bf02769363>, <http://dx.doi.org/10.1007/bf02769363>.","Okagaki L, Frensch PA (1994). “Effects of video game playing on measures of spatial performance: Gender effects
 in late adolescence.” _Journal of Applied Developmental Psychology_, *15*(1), 33–58. ISSN 0193-3973,
 doi:10.1016/0193-3973(94)90005-1 <https://doi.org/10.1016/0193-3973%2894%2990005-1>,
 <http://dx.doi.org/10.1016/0193-3973(94)90005-1>."
"...2778","Cognitive Psychology","Playing videogames (gaming) improves spatial skills, such as cognitive orientation and visualisation in space","Gagnon D (1985). “Videogames and spatial skills: An exploratory study.” _ECTJ_, *33*(4), 263–275. ISSN 0148-5806,
 doi:10.1007/bf02769363 <https://doi.org/10.1007/bf02769363>, <http://dx.doi.org/10.1007/bf02769363>.","Greenfield PM, Brannon C, Lohr D (1994). “Two-dimensional representation of movement through three- dimensional
 space: The role of video game expertise.” _Journal of Applied Developmental Psychology_, *15*(1), 87–103. ISSN
 0193-3973, doi:10.1016/0193-3973(94)90007-8 <https://doi.org/10.1016/0193-3973%2894%2990007-8>,
 <http://dx.doi.org/10.1016/0193-3973(94)90007-8>."
"...2779","Cognitive Psychology","Playing videogames (gaming) improves spatial skills, such as cognitive orientation and visualisation in space","Gagnon D (1985). “Videogames and spatial skills: An exploratory study.” _ECTJ_, *33*(4), 263–275. ISSN 0148-5806,
 doi:10.1007/bf02769363 <https://doi.org/10.1007/bf02769363>, <http://dx.doi.org/10.1007/bf02769363>.","Subrahmanyam K, Greenfield PM (1994). “Effect of video game practice on spatial skills in girls and boys.”
 _Journal of Applied Developmental Psychology_, *15*(1), 13–32. ISSN 0193-3973, doi:10.1016/0193-3973(94)90004-3
 <https://doi.org/10.1016/0193-3973%2894%2990004-3>, <http://dx.doi.org/10.1016/0193-3973(94)90004-3>."
"...2780","Cognitive Psychology","Playing videogames (gaming) improves spatial skills, such as cognitive orientation and visualisation in space","Gagnon D (1985). “Videogames and spatial skills: An exploratory study.” _ECTJ_, *33*(4), 263–275. ISSN 0148-5806,
 doi:10.1007/bf02769363 <https://doi.org/10.1007/bf02769363>, <http://dx.doi.org/10.1007/bf02769363>.","De Lisi R, Cammarano DM (1996). “Computer experience and gender differences in undergraduate mental rotation
 performance.” _Computers in Human Behavior_, *12*(3), 351–361. ISSN 0747-5632, doi:10.1016/0747-5632(96)00013-1
 <https://doi.org/10.1016/0747-5632%2896%2900013-1>, <http://dx.doi.org/10.1016/0747-5632(96)00013-1>."
